"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/2021","74.9065","75.0820","75.1489","74.7897","","-0.13%"
"04/26/2021","75.0048","74.8592","75.1055","74.6468","","0.03%"
"04/23/2021","74.9806","75.1611","75.2581","74.6812","","-0.59%"
"04/22/2021","75.4239","76.6829","76.6853","75.2482","","-1.56%"
"04/21/2021","76.6218","76.7572","77.0138","76.3572","","-0.25%"
"04/20/2021","76.8116","76.1329","77.0422","75.9461","","0.59%"
"04/19/2021","76.3583","76.1267","76.4365","76.0341","","0.70%"
"04/16/2021","75.8268","75.9991","76.0446","75.3355","","-0.67%"
"04/15/2021","76.3372","77.1213","77.5003","76.1159","","0.60%"
"04/14/2021","75.8828","75.5451","75.9595","75.4927","","-0.07%"
"04/13/2021","75.9373","77.3836","77.5298","75.8361","","-1.85%"
"04/12/2021","77.3698","77.5479","77.7246","77.0863","","-0.03%"
"04/09/2021","77.3964","77.1468","77.4650","77.0543","","0.70%"
"04/08/2021","76.8609","76.8713","77.3710","76.6469","","-0.15%"
"04/07/2021","76.9759","77.4451","78.0207","76.8872","","-0.37%"
"04/06/2021","77.2618","76.2596","77.3281","76.1915","","1.14%"
"04/05/2021","76.3881","76.4563","76.7152","76.0163","","-0.17%"
"04/02/2021","76.5160","76.1073","76.5160","75.9329","","0.33%"
"04/01/2021","76.2673","75.6500","76.4267","75.6493","","0.75%"
"03/31/2021","75.6987","75.8512","75.8783","75.2353","","-0.20%"
"03/30/2021","75.8495","75.4640","76.1723","75.4606","","0.24%"
"03/29/2021","75.6648","75.7698","76.0998","75.5728","","0.00%"
"03/26/2021","75.6633","75.8623","76.1875","75.6101","","-0.69%"
"03/25/2021","76.1870","76.3019","76.5839","75.7438","","-0.51%"
"03/24/2021","76.5795","76.6242","76.6440","75.7161","","0.26%"
"03/23/2021","76.3799","75.2078","76.3965","75.1212","","1.94%"
"03/22/2021","74.9227","74.3970","75.0791","74.3418","","1.08%"
"03/19/2021","74.1213","74.4060","74.4342","73.7650","","-0.26%"
"03/18/2021","74.3129","73.6095","74.3989","73.4488","","0.93%"
"03/17/2021","73.6311","73.0552","74.1925","72.9935","","1.04%"
"03/16/2021","72.8728","72.9298","73.0556","72.5404","","0.08%"
"03/15/2021","72.8170","73.4262","73.4406","72.8170","","-0.70%"
"03/12/2021","73.3335","73.5659","73.7261","73.2348","","0.04%"
"03/11/2021","73.3037","73.6618","73.8572","73.1935","","-0.41%"
"03/10/2021","73.6031","74.0919","74.1268","73.6005","","-0.41%"
"03/09/2021","73.9083","74.2287","74.5191","73.7870","","-0.43%"
"03/05/2021","74.2287","74.7030","74.7585","74.1230","","-0.63%"
"03/04/2021","74.7030","73.8005","74.9435","73.3583","","0.98%"
"03/03/2021","73.9755","73.9228","74.0529","73.4099","","0.22%"
"03/02/2021","73.8165","74.4741","74.7195","73.6246","","-0.48%"
"03/01/2021","74.1739","74.6196","74.6300","73.9062","","-0.60%"
"02/26/2021","74.6196","74.7301","74.9156","74.2633","","-0.15%"
"02/25/2021","74.7301","73.5305","74.8223","73.3677","","1.63%"
"02/24/2021","73.5305","74.3130","74.3130","73.4157","","-1.05%"
"02/22/2021","74.3130","74.0500","75.0445","74.0500","","0.35%"
"02/20/2021","74.0545","74.1116","74.1706","73.8806","","-0.08%"
"02/19/2021","74.1116","73.9036","74.1953","73.8043","","0.28%"
"02/18/2021","73.9036","73.7194","74.1567","73.5538","","0.25%"
